bag_tag_id,booking_reference,passenger_name,flt_number,origin,destination,weight_kg,bag_type,check_in_timestamp,belt_assigned,scan_status,current_location,loaded_to_aircraft,delivery_status,damage_reported,claim_filed
BT2401150001,BK2401150001,김민수,KE123,ICN,LAX,23.5,CHECKED,2024-01-15 06:30:15,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150002,BK2401150001,김민수,KE123,ICN,LAX,18.2,CHECKED,2024-01-15 06:30:22,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150003,BK2401150002,이영희,KE123,ICN,LAX,15.8,CHECKED,2024-01-15 06:45:10,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150004,BK2401150003,박준호,KE123,ICN,LAX,22.1,CHECKED,2024-01-15 07:00:05,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150005,BK2401150004,최수진,KE123,ICN,LAX,19.7,CHECKED,2024-01-15 06:55:30,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150006,BK2401150004,최수진,KE123,ICN,LAX,21.3,CHECKED,2024-01-15 06:55:45,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150007,BK2401150005,John Smith,KE123,ICN,LAX,25.0,CHECKED,2024-01-15 06:15:20,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150008,BK2401150005,John Smith,KE123,ICN,LAX,23.8,CHECKED,2024-01-15 06:15:35,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150009,BK2401150005,John Smith,KE123,ICN,LAX,18.5,CHECKED,2024-01-15 06:15:50,B12,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150010,BK2401150006,정민지,OZ201,ICN,NRT,20.2,CHECKED,2024-01-15 07:30:15,B07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150011,BK2401150007,강현우,OZ201,ICN,NRT,24.5,CHECKED,2024-01-15 07:45:20,B07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150012,BK2401150007,강현우,OZ201,ICN,NRT,19.8,CHECKED,2024-01-15 07:45:35,B07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150013,BK2401150008,조서연,OZ201,ICN,NRT,16.5,CHECKED,2024-01-15 08:00:10,B07,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150014,BK2401150009,윤재민,KE456,ICN,SIN,22.8,CHECKED,2024-01-15 08:45:15,B15,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150015,BK2401150009,윤재민,KE456,ICN,SIN,20.1,CHECKED,2024-01-15 08:45:30,B15,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150016,BK2401150010,한지우,KE456,ICN,SIN,17.9,CHECKED,2024-01-15 08:50:20,B15,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150017,BK2401150011,임도현,7C101,ICN,CJU,12.5,CHECKED,2024-01-15 05:45:10,C03,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150018,BK2401150013,송시우,LJ302,ICN,PUS,15.2,CHECKED,2024-01-15 10:15:15,C08,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150019,BK2401150014,오예준,LJ302,ICN,PUS,18.7,CHECKED,2024-01-15 10:20:20,C08,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150020,BK2401150015,황서윤,KE789,ICN,CDG,24.8,CHECKED,2024-01-15 11:30:15,A01,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
BT2401150021,BK2401150015,황서윤,KE789,ICN,CDG,21.2,CHECKED,2024-01-15 11:30:30,A01,SCANNED,AIRCRAFT,TRUE,DELIVERED,FALSE,FALSE
