account_id,customer_id,account_type,account_number,balance,currency,opened_date,status,branch_id
ACC001,CUST001,checking,1234567890,15000.50,USD,2023-01-15,active,BR001
ACC002,CUST001,savings,1234567891,45000.00,USD,2023-01-15,active,BR001
ACC003,CUST002,checking,2345678901,8500.75,USD,2023-03-20,active,BR002
ACC004,CUST002,investment,2345678902,125000.00,USD,2023-03-20,active,BR002
ACC005,CUST003,checking,3456789012,3200.25,USD,2023-05-10,active,BR001
ACC006,CUST003,savings,3456789013,18500.00,USD,2023-05-10,active,BR001
ACC007,CUST004,checking,4567890123,22000.00,USD,2023-06-01,active,BR003
ACC008,CUST004,money_market,4567890124,75000.00,USD,2023-06-01,active,BR003
ACC009,CUST005,checking,5678901234,5600.80,USD,2023-07-15,active,BR002
ACC010,CUST005,savings,5678901235,32000.00,USD,2023-07-15,active,BR002
ACC011,CUST006,checking,6789012345,12000.00,USD,2023-08-01,active,BR001
ACC012,CUST006,cd,6789012346,50000.00,USD,2023-08-01,active,BR001
ACC013,CUST007,checking,7890123456,4500.00,USD,2023-09-10,active,BR003
ACC014,CUST008,savings,8901234567,28000.00,USD,2023-10-05,active,BR002
ACC015,CUST008,investment,8901234568,200000.00,USD,2023-10-05,active,BR002
ACC016,CUST009,checking,9012345678,9800.00,USD,2023-11-01,active,BR001
ACC017,CUST010,checking,0123456789,15500.00,USD,2023-12-01,active,BR003
ACC018,CUST010,savings,0123456790,42000.00,USD,2023-12-01,active,BR003
ACC019,CUST011,checking,1122334455,7200.00,USD,2024-01-10,active,BR002
ACC020,CUST012,money_market,2233445566,95000.00,USD,2024-01-15,active,BR001
