customer_id,customer_name,email,signup_date,segment,acquisition_channel,region,lifetime_value,is_active,last_purchase_date
CUST000001,이민준,user1@gmail.com,2023-05-06,Standard,MOBILE,세종,106838,1,2023-05-22
CUST000002,이예준,user2@naver.com,2023-11-05,VIP,ONLINE,세종,608775,1,2024-06-07
CUST000003,최현우,user3@gmail.com,2023-01-04,Basic,ONLINE,대전,25316,1,2023-06-26
CUST000004,이하준,user4@gmail.com,2023-07-03,Basic,OFFLINE,서울,37355,1,2024-02-24
CUST000005,장지우,user5@gmail.com,2023-07-13,Premium,ONLINE,강원,256998,1,2023-10-20
CUST000006,이서연,user6@gmail.com,2023-05-29,Inactive,MOBILE,경기,20632,0,
CUST000007,조시우,user7@gmail.com,2023-07-06,Premium,ONLINE,인천,163821,1,2023-08-12
CUST000008,임서윤,user8@gmail.com,2023-05-06,Premium,ONLINE,세종,84162,1,2023-08-27
CUST000009,강서연,user9@naver.com,2023-01-17,Basic,ONLINE,경기,38712,1,2023-06-28
CUST000010,최채원,user10@gmail.com,2023-11-26,Standard,ONLINE,대구,149642,1,2024-09-09
CUST000011,장시우,user11@gmail.com,2023-08-08,Basic,ONLINE,대구,38184,1,2024-04-17
CUST000012,이서연,user12@gmail.com,2023-03-20,Basic,MOBILE,대전,29862,1,2023-04-22
CUST000013,조준서,user13@gmail.com,2023-08-28,Standard,PARTNER,서울,73723,1,2024-05-29
CUST000014,정지호,user14@naver.com,2023-08-11,Premium,ONLINE,인천,164264,1,2024-04-24
CUST000015,박지훈,user15@gmail.com,2023-11-17,Standard,OFFLINE,강원,89160,1,2024-02-08
CUST000016,장지훈,user16@gmail.com,2023-11-03,Standard,ONLINE,광주,107549,1,2024-04-09
CUST000017,최서연,user17@naver.com,2023-10-18,Inactive,ONLINE,울산,46702,0,
CUST000018,장도윤,user18@naver.com,2023-09-01,Inactive,ONLINE,세종,0,0,
CUST000019,임지유,user19@gmail.com,2023-10-04,Basic,OFFLINE,인천,11972,1,2024-04-13
CUST000020,윤지훈,user20@gmail.com,2023-05-07,Standard,ONLINE,강원,106547,1,2024-02-15
CUST000021,최건우,user21@naver.com,2023-02-06,Basic,ONLINE,경기,54629,1,2023-03-15
CUST000022,장지민,user22@naver.com,2023-09-06,Standard,ONLINE,강원,46714,1,2024-06-28
CUST000023,윤지민,user23@gmail.com,2023-07-28,Premium,ONLINE,대전,149829,1,2023-08-25
CUST000024,이서연,user24@gmail.com,2023-06-23,Basic,ONLINE,대구,42239,1,2023-09-29
CUST000025,장현우,user25@naver.com,2023-04-04,Standard,ONLINE,경기,24131,1,2024-01-11
CUST000026,이서연,user26@gmail.com,2023-10-04,Basic,PARTNER,대구,40429,1,2023-12-29
CUST000027,조채원,user27@gmail.com,2023-07-25,Inactive,ONLINE,서울,41726,0,
CUST000028,윤수아,user28@gmail.com,2023-10-12,Basic,OFFLINE,대구,28915,1,2024-03-12
CUST000029,최서연,user29@gmail.com,2023-10-05,Premium,ONLINE,서울,118343,1,2024-07-03
CUST000030,박서연,user30@gmail.com,2023-02-11,Basic,ONLINE,경기,21052,1,2023-06-12
CUST000031,조지우,user31@gmail.com,2023-10-19,Standard,OFFLINE,강원,118211,1,2024-08-04
