lead_id,lead_email,source,status,lead_score,created_at,cust_id,assigned_rep
LD00001,prospect1@company5.com,ORGANIC,QUALIFIED,96,2023-09-14 00:00:00,,REP003
LD00002,prospect2@company9.com,ORGANIC,QUALIFIED,82,2023-11-22 00:00:00,,REP009
LD00003,prospect3@company4.com,GOOGLE_ADS,LOST,39,2023-09-19 00:00:00,,REP002
LD00004,prospect4@company23.com,FACEBOOK,CONTACTED,38,2023-11-29 00:00:00,,REP009
LD00005,prospect5@company18.com,REFERRAL,CONTACTED,80,2023-11-10 00:00:00,,REP003
LD00006,prospect6@company38.com,ORGANIC,NEW,31,2023-11-12 00:00:00,,REP010
LD00007,prospect7@company3.com,ORGANIC,CONVERTED,82,2023-08-26 00:00:00,CUST000085,REP001
LD00008,prospect8@company27.com,REFERRAL,CONVERTED,83,2023-07-24 00:00:00,CUST000083,REP010
LD00009,prospect9@company20.com,FACEBOOK,PROPOSAL,92,2023-08-14 00:00:00,,REP008
LD00010,prospect10@company11.com,FACEBOOK,CONVERTED,17,2023-11-24 00:00:00,CUST000088,REP008
LD00011,prospect11@company46.com,FACEBOOK,CONTACTED,50,2023-07-07 00:00:00,,REP006
LD00012,prospect12@company36.com,WEBINAR,LOST,26,2023-07-04 00:00:00,,REP002
LD00013,prospect13@company7.com,FACEBOOK,CONTACTED,28,2023-08-03 00:00:00,,REP001
LD00014,prospect14@company37.com,WEBINAR,CONVERTED,51,2023-07-11 00:00:00,CUST000050,REP006
LD00015,prospect15@company32.com,FACEBOOK,CONVERTED,49,2023-10-06 00:00:00,CUST000021,REP001
LD00016,prospect16@company23.com,FACEBOOK,CONVERTED,84,2023-07-26 00:00:00,CUST000051,REP001
LD00017,prospect17@company19.com,ORGANIC,CONVERTED,70,2023-11-20 00:00:00,CUST000064,REP009
LD00018,prospect18@company49.com,FACEBOOK,CONVERTED,56,2023-12-04 00:00:00,CUST000014,REP007
LD00019,prospect19@company19.com,FACEBOOK,QUALIFIED,95,2023-07-20 00:00:00,,REP002
LD00020,prospect20@company8.com,FACEBOOK,QUALIFIED,99,2023-11-07 00:00:00,,REP003
LD00021,prospect21@company24.com,FACEBOOK,CONVERTED,81,2023-08-26 00:00:00,,REP003
LD00022,prospect22@company46.com,FACEBOOK,CONVERTED,27,2023-06-10 00:00:00,CUST000066,REP006
LD00023,prospect23@company21.com,FACEBOOK,NEW,27,2023-10-10 00:00:00,,REP010
LD00024,prospect24@company22.com,FACEBOOK,PROPOSAL,85,2023-08-16 00:00:00,,REP009
LD00025,prospect25@company2.com,FACEBOOK,PROPOSAL,70,2023-08-16 00:00:00,,REP006
LD00026,prospect26@company2.com,GOOGLE_ADS,QUALIFIED,100,2023-08-18 00:00:00,,REP010
LD00027,prospect27@company37.com,CONTENT,CONVERTED,84,2023-12-16 00:00:00,,REP004
LD00028,prospect28@company50.com,ORGANIC,CONTACTED,89,2023-11-09 00:00:00,,REP007
LD00029,prospect29@company13.com,GOOGLE_ADS,CONVERTED,24,2023-11-27 00:00:00,CUST000088,REP001
LD00030,prospect30@company50.com,FACEBOOK,QUALIFIED,92,2023-07-23 00:00:00,,REP010
LD00031,prospect31@company9.com,WEBINAR,PROPOSAL,100,2023-06-16 00:00:00,,REP009
LD00032,prospect32@company12.com,CONTENT,CONVERTED,50,2023-09-05 00:00:00,CUST000042,REP008
LD00033,prospect33@company40.com,FACEBOOK,QUALIFIED,76,2023-12-15 00:00:00,,REP008
LD00034,prospect34@company46.com,GOOGLE_ADS,CONVERTED,46,2023-08-16 00:00:00,CUST000032,REP004
LD00035,prospect35@company8.com,FACEBOOK,QUALIFIED,78,2023-10-22 00:00:00,,REP010
LD00036,prospect36@company3.com,FACEBOOK,LOST,19,2023-08-28 00:00:00,,REP005
LD00037,prospect37@company31.com,GOOGLE_ADS,LOST,33,2023-11-15 00:00:00,,REP004
LD00038,prospect38@company7.com,GOOGLE_ADS,CONVERTED,27,2023-08-09 00:00:00,CUST000069,REP010
LD00039,prospect39@company41.com,GOOGLE_ADS,NEW,38,2023-10-14 00:00:00,,REP004
LD00040,prospect40@company1.com,FACEBOOK,CONVERTED,27,2023-11-22 00:00:00,CUST000053,REP009
